,year,month,adm_code,so2
259,2013,1,654200,219.54898336414047
261,2013,1,331000,298.7654320987654
262,2013,1,140100,999.8611111111111
263,2013,1,370900,1409.275
264,2013,1,321200,419.6792452830189
265,2013,1,130200,1165.062015503876
266,2013,1,120000,1130.7894736842106
268,2013,1,620500,483.2937062937063
269,2013,1,211200,586.5833333333334
271,2013,1,220500,524.5892857142857
272,2013,1,150500,444.2307692307692
273,2013,1,610200,836.5405405405405
274,2013,1,340700,411.2758620689655
275,2013,1,520600,335.4404761904762
277,2013,1,650400,352.68601583113457
280,2013,1,371000,468.9
281,2013,1,370700,1318.4967320261437
282,2013,1,610500,853.0708661417323
283,2013,1,330300,220.94174757281553
285,2013,1,532600,227.89964157706092
286,2013,1,150300,1278.625
287,2013,1,150900,705.9148211243612
288,2013,1,650100,513.8838709677419
289,2013,1,320200,504.7111111111111
290,2013,1,340200,397.31481481481484
291,2013,1,640300,701.6569767441861
292,2013,1,450400,299.2522522522523
295,2013,1,420100,585.9375
296,2013,1,620600,715.3323442136499
297,2013,1,610100,820.6633663366337
298,2013,1,630100,633.2236842105264
299,2013,1,532800,220.54437869822485
300,2013,1,152500,576.0750444049734
302,2013,1,421200,443.75824175824175
303,2013,1,610400,812.7029702970297
304,2013,1,810000,146.42857142857142
305,2013,1,430300,511.15555555555557
306,2013,1,433100,338.59183673469386
307,2013,1,420600,581.0756756756757
308,2013,1,420900,552.2413793103449
309,2013,1,140900,766.2393822393823
310,2013,1,410700,894.7529411764706
311,2013,1,360500,382.73333333333335
312,2013,1,411500,522.0497237569061
313,2013,1,130500,1649.1031746031747
314,2013,1,152200,244.02336448598132
315,2013,1,320300,716.5636363636364
316,2013,1,411000,798.1020408163265
317,2013,1,341800,333.2857142857143
318,2013,1,511800,283.63829787234044
319,2013,1,370600,657.2919708029198
320,2013,1,610600,610.6773333333333
321,2013,1,222400,489.22291666666666
322,2013,1,320900,362.4468085106383
323,2013,1,321000,434.5593220338983
324,2013,1,441700,229.09375
325,2013,1,140300,1433.3695652173913
326,2013,1,230700,182.90379746835444
327,2013,1,654000,240.6084828711256
328,2013,1,511500,402.8976377952756
329,2013,1,420500,471.7562189054726
330,2013,1,360900,393.2865497076023
331,2013,1,430900,456.46086956521737
332,2013,1,640100,1273.4927536231885
333,2013,1,360600,341.6470588235294
334,2013,1,210800,781.3333333333334
335,2013,1,431100,366.4676616915423
336,2013,1,610800,563.9459459459459
337,2013,1,450900,294.0892857142857
338,2013,1,632700,131.27141434262947
339,2013,1,530400,261.144
340,2013,1,430600,422.7173913043478
341,2013,1,445300,296.5507246376812
342,2013,1,140800,932.2198581560284
343,2013,1,370400,1007.6341463414634
344,2013,1,440800,172.77659574468086
345,2013,1,430800,324.47777777777776
346,2013,1,130700,731.3794871794872
347,2013,1,620700,633.4798994974874
348,2013,1,350600,157.62037037037038
349,2013,1,220100,554.4697508896797
350,2013,1,430100,437.6788990825688
351,2013,1,140400,798.4964539007092
352,2013,1,530600,381.97058823529414
353,2013,1,441200,330.17910447761193
354,2013,1,321100,458.7368421052632
355,2013,1,410100,802.5694444444445
356,2013,1,442000,269.53333333333336
357,2013,1,640500,570.1188811188811
358,2013,1,500000,395.6653543307087
359,2013,1,330900,163.0
360,2013,1,411600,728.5932203389831
361,2013,1,440400,203.88888888888889
362,2013,1,430200,385.55670103092785
363,2013,1,411700,658.9795918367347
364,2013,1,512000,410.26
365,2013,1,370300,1804.9830508474577
366,2013,1,510300,387.575
367,2013,1,520300,464.9328621908127
368,2013,2,513200,204.14786967418547
369,2013,2,652900,203.5340579710145
371,2013,2,152900,537.8904163393559
372,2013,2,654300,329.778818443804
373,2013,2,542500,132.83953273901014
374,2013,2,610900,401.7911111111111
375,2013,2,340800,284.13953488372096
376,2013,2,520400,289.6046511627907
377,2013,2,410500,782.5890410958904
378,2013,2,210300,603.9583333333334
379,2013,2,150800,439.6432664756447
380,2013,2,652800,141.39178802588998
381,2013,2,511900,309.13157894736844
382,2013,2,220800,206.44107744107745
384,2013,2,220600,461.9263157894737
385,2013,2,620400,460.356783919598
386,2013,2,451000,214.27672955974842
387,2013,2,340300,318.6949152542373
388,2013,2,150200,554.0032573289902
389,2013,2,610300,511.5245901639344
390,2013,2,130600,928.7205240174673
391,2013,2,530500,164.28571428571428
393,2013,2,450500,144.4
394,2013,2,110000,545.1609195402299
396,2013,2,210500,496.6333333333333
397,2013,2,520500,362.31854838709677
398,2013,2,371600,948.8842105263158
399,2013,2,341600,471.1358024691358
400,2013,2,652700,229.44890510948906
401,2013,2,130900,883.5441176470588
402,2013,2,540300,99.0587668593449
403,2013,2,652300,294.64191616766465
405,2013,2,430700,312.5808383233533
406,2013,2,320400,306.925
407,2013,2,211300,584.1408450704225
408,2013,2,445100,159.30769230769232
409,2013,2,431000,264.3103448275862
410,2013,2,510100,316.36296296296297
411,2013,2,130800,561.3583138173302
413,2013,2,341700,248.64102564102564
414,2013,2,150400,551.4384133611691
415,2013,2,451400,168.56129032258065
416,2013,2,341100,286.15625
417,2013,2,532300,313.6264591439689
418,2013,2,511700,327.0
419,2013,2,532900,170.6679841897233
420,2013,2,210200,557.9130434782609
421,2013,2,230600,274.9880478087649
422,2013,2,140200,593.4834437086092
423,2013,2,232700,213.00467289719626
424,2013,2,210600,502.27272727272725
425,2013,2,460400,74.44827586206897
426,2013,2,533100,154.58415841584159
427,2013,2,510600,284.25
428,2013,2,371400,1047.0701754385964
429,2013,2,533400,100.69302325581396
431,2013,2,621100,365.3351063829787
433,2013,2,441900,205.69565217391303
434,2013,2,370500,791.5294117647059
435,2013,2,150600,537.9448732083792
436,2013,2,420700,362.2
437,2013,2,422800,255.54424778761063
438,2013,2,450600,158.35416666666666
439,2013,2,440600,235.7941176470588
440,2013,2,350100,109.24742268041237
441,2013,2,210400,425.45454545454544
442,2013,2,361000,220.00595238095238
443,2013,2,210900,425.52542372881356
444,2013,2,341200,443.8888888888889
445,2013,2,623000,258.23756906077347
446,2013,2,513300,136.20550847457628
447,2013,2,360700,214.74074074074073
448,2013,2,640400,406.8285714285714
449,2013,2,511600,336.2950819672131
450,2013,2,510800,289.4177215189873
451,2013,2,440100,191.05172413793105
452,2013,2,450800,230.7872340425532
453,2013,2,520100,331.7142857142857
454,2013,2,450300,232.45934959349594
455,2013,2,632600,197.92424242424244
456,2013,2,230100,295.30392156862746
457,2013,2,650500,242.27957699933907
458,2013,2,632200,386.487106017192
459,2013,2,630200,458.671875
460,2013,2,460100,61.2
461,2013,2,632500,236.00227790432803
462,2013,2,632800,166.8754542451272
463,2013,2,130400,1061.5403225806451
464,2013,2,610700,388.89230769230767
465,2013,2,330100,202.62420382165604
466,2013,2,340100,254.77777777777777
467,2013,2,653200,169.37933785400878
468,2013,2,451200,215.36486486486487
469,2013,2,441600,178.39007092198582
470,2013,2,371700,738.8823529411765
471,2013,2,451100,212.05714285714285
472,2013,2,410600,758.8
473,2013,2,230400,166.03389830508473
474,2013,2,231100,213.81895504252734
475,2013,2,131100,1065.4666666666667
476,2013,2,430400,317.1
477,2013,2,532500,231.38327526132403
478,2013,2,150100,629.7
479,2013,2,150700,234.50857142857143
481,2013,2,211400,682.0485436893204
482,2013,2,330500,235.83636363636364
483,2013,2,431200,286.596
484,2013,2,320800,297.010101010101
485,2013,2,340600,449.0357142857143
486,2013,2,340400,323.07547169811323
487,2013,2,421100,325.67484662576686
488,2013,2,632300,263.24858757062145
489,2013,2,341000,199.36666666666667
490,2013,2,420200,314.6666666666667
491,2013,2,441300,179.01052631578946
492,2013,2,230300,252.3125
493,2013,2,360800,224.15086206896552
494,2013,2,220200,357.78709677419357
495,2013,2,370100,1145.2475247524753
496,2013,2,370800,866.8272727272728
498,2013,2,230800,193.6217616580311
499,2013,2,330400,252.13513513513513
500,2013,2,620200,485.7857142857143
501,2013,2,440700,207.94736842105263
502,2013,2,410800,787.7560975609756
503,2013,2,445200,184.04347826086956
504,2013,2,620300,824.0769230769231
505,2013,2,330700,252.03
506,2013,2,210700,509.83673469387753
507,2013,2,140500,724.7111111111111
508,2013,2,140700,910.7650602409639
509,2013,2,420800,478.975
510,2013,2,421000,394.9015151515151
511,2013,2,360200,231.46
512,2013,2,360400,259.83798882681566
513,2013,2,620900,318.9938097917839
514,2013,2,653100,198.8963684676705
515,2013,2,410200,581.2033898305085
517,2013,2,650200,116.183908045977
518,2013,2,653000,179.9283746556474
519,2013,2,530100,311.2135416666667
521,2013,2,540100,105.12408759124088
522,2013,2,451300,210.59322033898306
523,2013,2,620100,464.30827067669173
524,2013,2,131000,769.9253731343283
526,2013,2,511100,302.0508474576271
527,2013,2,530700,213.35675675675677
528,2013,2,331100,213.67924528301887
529,2013,2,320700,389.8857142857143
530,2013,2,513400,254.90642201834862
531,2013,2,211000,719.9215686274509
532,2013,2,220400,406.5438596491228
533,2013,2,371500,959.6279069767442
534,2013,2,540400,88.1887323943662
535,2013,2,530900,172.781990521327
536,2013,2,141000,649.2634146341463
538,2013,2,622900,429.6707317073171
539,2013,2,371300,765.766081871345
541,2013,2,450200,218.35757575757575
542,2013,2,341500,308.2689655172414
543,2013,2,520200,323.3333333333333
544,2013,2,350800,169.4327485380117
545,2013,2,621200,342.68283582089555
546,2013,2,431300,346.90909090909093
547,2013,2,510500,345.6842105263158
548,2013,2,410300,645.2402597402597
549,2013,2,411100,614.6923076923077
550,2013,2,141100,605.0140186915888
551,2013,2,340500,292.42105263157896
552,2013,2,440900,216.04166666666666
553,2013,2,511400,312.484375
554,2013,2,441400,164.71942446043167
555,2013,2,510700,265.10994764397907
556,2013,2,231000,303.51605504587155
557,2013,2,540600,117.31005010315356
558,2013,2,360100,270.46268656716416
559,2013,2,511300,292.26666666666665
560,2013,2,320100,307.1746031746032
561,2013,2,450100,174.11855670103094
562,2013,2,350700,215.24166666666667
563,2013,2,320600,239.35443037974684
564,2013,2,411300,538.6284584980237
565,2013,2,511000,349.52830188679246
566,2013,2,330200,212.1139240506329
567,2013,2,350900,142.6822429906542
568,2013,2,533300,92.85496183206106
569,2013,2,510400,406.375
570,2013,2,211100,489.63157894736844
571,2013,2,410400,636.4805194805194
572,2013,2,620800,477.22429906542055
573,2013,2,360300,252.8918918918919
574,2013,2,350300,93.0
575,2013,2,410900,803.8837209302326
576,2013,2,530800,203.3298969072165
577,2013,2,230900,185.32258064516128
578,2013,2,230200,238.0159045725646
580,2013,2,522600,255.54212454212455
581,2013,2,522700,256.95
582,2013,2,522300,265.92
583,2013,2,450700,181.5108695652174
584,2013,2,130300,698.6794871794872
585,2013,2,370200,559.0194174757281
586,2013,2,441800,275.0769230769231
587,2013,2,621000,467.4686346863469
590,2013,2,530300,306.4749034749035
591,2013,2,330800,205.58227848101265
592,2013,2,350500,117.41304347826087
593,2013,2,540200,106.62947494033413
594,2013,2,371100,601.8076923076923
595,2013,2,411200,635.0531914893617
596,2013,2,350400,185.78365384615384
597,2013,2,460200,84.3125
598,2013,2,350200,136.9090909090909
599,2013,2,540500,96.73655172413793
600,2013,2,440500,190.5625
601,2013,2,441500,152.15384615384616
602,2013,2,611000,507.05759162303667
603,2013,2,411400,584.8571428571429
604,2013,2,310000,227.86885245901638
605,2013,2,361100,235.755980861244
606,2013,2,440200,259.41317365269464
607,2013,2,430500,315.39572192513367
608,2013,2,330600,259.7564102564103
609,2013,2,440300,152.69230769230768
611,2013,2,210100,645.4565217391304
612,2013,2,420300,400.53711790393015
614,2013,2,130100,1308.1904761904761
615,2013,2,640200,927.9318181818181
617,2013,2,230500,230.319391634981
618,2013,2,140600,539.6454545454545
619,2013,2,220300,374.52252252252254
620,2013,2,220700,305.28333333333336
621,2013,2,320500,280.425
622,2013,2,321300,310.2352941176471
623,2013,2,341300,421.09090909090907
624,2013,2,231200,261.3567961165049
625,2013,2,421300,451.7032967032967
626,2013,2,510900,335.3333333333333
627,2013,2,654200,181.91866913123846
629,2013,2,331000,182.14814814814815
630,2013,2,140100,701.0416666666666
631,2013,2,370900,987.925
632,2013,2,321200,282.58490566037733
633,2013,2,130200,875.9069767441861
634,2013,2,120000,819.3684210526316
636,2013,2,620500,415.31468531468533
637,2013,2,211200,406.53472222222223
639,2013,2,220500,440.23214285714283
640,2013,2,150500,297.59276018099547
641,2013,2,610200,654.8108108108108
642,2013,2,340700,285.3448275862069
643,2013,2,520600,253.66666666666666
645,2013,2,650400,218.83377308707125
648,2013,2,371000,348.52
649,2013,2,370700,895.5163398692811
650,2013,2,610500,653.7322834645669
651,2013,2,330300,161.63106796116506
653,2013,2,532600,207.168458781362
654,2013,2,150300,923.1875
655,2013,2,150900,496.27086882453153
656,2013,2,650100,380.49032258064517
657,2013,2,320200,331.6666666666667
658,2013,2,340200,281.77777777777777
659,2013,2,640300,573.2790697674419
660,2013,2,450400,234.66666666666666
663,2013,2,420100,394.0375
664,2013,2,620600,636.9436201780416
