,year,month,adm_code,pm10
0,2009,1,513200,71.46761267313802
1,2009,1,652900,183.90363206926307
3,2009,1,152900,144.86014719816316
4,2009,1,654300,85.86218296373178
5,2009,1,542500,85.39279068535991
6,2009,1,610900,126.26934322688928
7,2009,1,340800,115.3680242706342
8,2009,1,520400,83.07959404275763
9,2009,1,410500,196.15871584699454
10,2009,1,210300,97.1129107505071
11,2009,1,820000,87.44736842105263
12,2009,1,150800,130.22383843000586
13,2009,1,652800,167.646297895217
14,2009,1,511900,123.7249701721493
15,2009,1,220800,87.08890328299185
17,2009,1,220600,97.83847860538827
18,2009,1,620400,134.90705684958547
19,2009,1,451000,80.22304814168122
20,2009,1,340300,147.98251050420168
21,2009,1,150200,123.66922460161027
22,2009,1,610300,130.43476547102878
23,2009,1,130600,161.42197649711633
24,2009,1,530500,61.490370718524176
26,2009,1,450500,93.61085378499827
27,2009,1,110000,127.18857473258167
29,2009,1,210500,96.6971476137625
30,2009,1,520500,83.51044959462779
31,2009,1,371600,176.30841132161606
32,2009,1,341600,158.47861642839834
33,2009,1,652700,118.7287217354708
34,2009,1,130900,178.19968064722164
35,2009,1,540300,69.45538806431664
36,2009,1,652300,156.13337799181664
38,2009,1,430700,147.87074261855054
39,2009,1,320400,130.33117841689997
40,2009,1,211300,103.3172559913367
41,2009,1,445100,74.32253991830672
42,2009,1,431000,96.13296330380766
43,2009,1,510100,143.47837917995108
44,2009,1,130800,99.13432087725904
46,2009,1,341700,109.1231394298981
47,2009,1,150400,90.32491624877755
48,2009,1,451400,90.35104839773177
49,2009,1,341100,139.00324375146909
50,2009,1,532300,57.06129563546527
51,2009,1,511700,133.9998982382497
52,2009,1,532900,52.61227376906662
53,2009,1,210200,96.78541586371695
54,2009,1,230600,91.59165262422424
55,2009,1,140200,112.27652854636253
56,2009,1,232700,79.26358683553795
57,2009,1,210600,89.29877316458966
58,2009,1,460400,61.28448652585579
59,2009,1,533100,68.02344381568311
60,2009,1,510600,143.0479170391561
61,2009,1,371400,184.1581868288511
62,2009,1,533400,44.950347973290704
64,2009,1,621100,131.9697875850691
66,2009,1,441900,101.09487908961593
67,2009,1,370500,170.73463068181817
68,2009,1,150600,124.01710659563226
69,2009,1,420700,148.0250726744186
70,2009,1,422800,114.76535663591198
71,2009,1,450600,89.35411196911197
72,2009,1,440600,105.58329334133172
73,2009,1,350100,68.23637959621574
74,2009,1,210400,102.22903040734366
75,2009,1,361000,89.19414299021892
76,2009,1,210900,97.2696612273856
77,2009,1,341200,156.25500205423174
78,2009,1,623000,103.28285570918823
79,2009,1,513300,66.87176933585317
80,2009,1,360700,80.94282929860739
81,2009,1,640400,131.4010083713851
82,2009,1,511600,158.03994624559044
83,2009,1,510800,113.9344489952643
84,2009,1,440100,97.11437230818312
85,2009,1,450800,101.66081846351105
86,2009,1,520100,90.88327855382087
87,2009,1,450300,97.15313809216886
88,2009,1,632600,90.46880682534568
89,2009,1,230100,100.7289703715829
90,2009,1,650500,146.05621752592975
91,2009,1,632200,99.17561518560856
92,2009,1,630200,121.08489076274434
93,2009,1,460100,64.25123101100053
94,2009,1,632500,106.76006170140406
95,2009,1,632800,113.25340711798351
96,2009,1,130400,197.23207842491144
97,2009,1,610700,117.35150473571646
98,2009,1,330100,104.43496956352803
99,2009,1,340100,140.74780598189687
100,2009,1,653200,202.82407037728981
101,2009,1,451200,88.95923545558011
102,2009,1,441600,79.28282190787087
103,2009,1,371700,192.14188233336108
104,2009,1,451100,95.80472312703583
105,2009,1,410600,202.3522331922896
106,2009,1,230400,83.480566685747
107,2009,1,231100,82.04950575408843
108,2009,1,131100,193.06760297546353
109,2009,1,430400,123.34199985591815
110,2009,1,532500,69.91156992735736
111,2009,1,150100,119.4683340630473
112,2009,1,150700,76.18879964387396
114,2009,1,211400,106.10933137398972
115,2009,1,330500,121.89650758822454
116,2009,1,431200,116.22579851604966
117,2009,1,320800,141.0803948419491
118,2009,1,340600,161.69458239277654
119,2009,1,340400,145.24184782608694
120,2009,1,421100,127.01087639342242
121,2009,1,632300,112.23814068377028
122,2009,1,341000,94.42993905817175
