,year,month,adm_code,co
0,2013,1,513200,83.4937343358396
1,2013,1,652900,114.0855072463768
3,2013,1,152900,121.30192383195917
4,2013,1,654300,161.03309352517985
5,2013,1,542500,93.9978494623656
6,2013,1,610900,173.48
7,2013,1,340800,136.12403100775194
8,2013,1,520400,112.40697674418605
9,2013,1,410500,307.4657534246575
10,2013,1,210300,221.27083333333334
11,2013,1,150800,132.56652360515022
12,2013,1,652800,123.54753236245955
13,2013,1,511900,152.55263157894737
14,2013,1,220800,106.79797979797979
16,2013,1,220600,135.70526315789473
17,2013,1,620400,150.12562814070353
18,2013,1,451000,129.33962264150944
19,2013,1,340300,181.864406779661
20,2013,1,150200,216.29641693811075
21,2013,1,610300,226.27868852459017
22,2013,1,130600,311.49344978165936
23,2013,1,530500,139.1845238095238
25,2013,1,450500,118.63333333333334
26,2013,1,110000,280.58045977011494
28,2013,1,210500,208.05555555555554
29,2013,1,520500,142.3548387096774
30,2013,1,371600,270.6041666666667
31,2013,1,341600,211.87654320987653
32,2013,1,652700,126.57818181818182
33,2013,1,130900,292.5642857142857
34,2013,1,540300,95.25818882466281
35,2013,1,652300,221.25868263473055
37,2013,1,430700,188.66467065868264
38,2013,1,320400,154.7
39,2013,1,211300,174.72300469483568
40,2013,1,445100,118.21428571428571
41,2013,1,431000,175.79310344827587
42,2013,1,510100,152.77037037037036
43,2013,1,130800,168.6416861826698
45,2013,1,341700,120.91025641025641
46,2013,1,150400,129.24634655532358
47,2013,1,451400,131.19354838709677
48,2013,1,341100,164.3203125
49,2013,1,532300,145.05836575875486
50,2013,1,511700,150.1823899371069
51,2013,1,532900,127.92885375494072
52,2013,1,210200,115.65957446808511
53,2013,1,230600,129.199203187251
54,2013,1,140200,241.41721854304635
55,2013,1,232700,68.99766627771295
56,2013,1,210600,178.24528301886792
57,2013,1,460400,93.86666666666666
58,2013,1,533100,144.7029702970297
59,2013,1,510600,146.89285714285714
60,2013,1,371400,273.7543859649123
61,2013,1,533400,102.70232558139534
63,2013,1,621100,157.63297872340425
65,2013,1,441900,136.2608695652174
66,2013,1,370500,213.2463768115942
67,2013,1,150600,130.72436604189636
68,2013,1,420700,178.2
69,2013,1,422800,117.15486725663717
70,2013,1,450600,129.1
71,2013,1,440600,151.6764705882353
72,2013,1,350100,90.72380952380952
73,2013,1,210400,190.53719008264463
74,2013,1,361000,119.38095238095238
75,2013,1,210900,148.91525423728814
76,2013,1,341200,201.42424242424244
77,2013,1,623000,102.06353591160222
78,2013,1,513300,83.81002824858757
79,2013,1,360700,146.83190883190883
80,2013,1,640400,156.53333333333333
81,2013,1,511600,150.44262295081967
82,2013,1,510800,140.36075949367088
83,2013,1,440100,133.6949152542373
84,2013,1,450800,160.7340425531915
85,2013,1,520100,104.78571428571429
86,2013,1,450300,146.48373983739836
87,2013,1,632600,76.62809917355372
88,2013,1,230100,148.15359477124184
89,2013,1,650500,155.92866578599737
